1282596	Wobkent Rayoni	40	3	A	ADM3	UZ	Europe/Zaporozhye
785165	Sferke	4264694	2046389	P	PPL	XK	Europe/Belgrade
785166	Svrhe	4254444	2061333	P	PPL	XK	Europe/Belgrade
785172	Svirce	4271611	2157417	P	PPLL	XK	Europe/Belgrade
785180	Svinjar	4285111	2088972	P	PPL	XK	Europe/Belgrade
785190	Svetlje	4287639	2122056	P	PPL	XK	Europe/Belgrade
785205	Sveti Jovan	425475	2155722	S	RUIN	XK	Europe/Belgrade
785218	Suvo Grlo	4281694	2065833	P	PPL	XK	Europe/Belgrade
785227	Llukavci i Thate	4273472	2050944	P	PPL	XK	Europe/Belgrade
785233	Suvi Do	4254667	2110583	P	PPL	XK	Europe/Belgrade
785234	Komuna e Therandes	2	1	A	ADM2	XK	Europe/Belgrade
785235	Suva Reka	4223333	21	H	STM	XK	Europe/Belgrade
785238	Suva Reka	4235861	20825	P	PPLA2	XK	Europe/Belgrade
785241	Suva Planina	4285917	2063472	T	MTS	XK	Europe/Belgrade
785256	Susice	4229083	2101806	P	PPL	XK	Europe/Belgrade
785257	Susica	4272833	2047111	H	STM	XK	Europe/Belgrade
785260	Sushica	4273028	2033806	H	STM	XK	Europe/Belgrade
785263	Sushic (Gashi)	4279333	2057639	P	PPLL	XK	Europe/Belgrade
785264	Susica	4257889	2121167	P	PPL	XK	Europe/Belgrade
785280	Shurdhan	4230417	2154639	P	PPLL	XK	Europe/Belgrade
785286	Surdula	4284944	2128806	P	PPL	XK	Europe/Belgrade
785298	Supenovac	4254472	2120556	T	SPUR	XK	Europe/Belgrade
785310	Sultan Tepe	4273094	2124295	T	PK	XK	Europe/Belgrade
785314	Sulejmanica	41.98	2072917	T	MT	XK	Europe/Belgrade
785320	Suho	4274972	2137139	T	PK	XK	Europe/Belgrade
785322	Suva Reka	4235583	2082417	H	STM	XK	Europe/Belgrade
785327	Sudimlja Reka	4280222	2098417	H	STM	XK	Europe/Belgrade
785333	Stutica	4269833	1	P	PPL	XK	Europe/Belgrade
785336	Shtupel	4266417	2059222	P	PPLL	XK	Europe/Belgrade
785339	Stup	42.67	2047556	P	PPL	XK	Europe/Belgrade
785348	Studenica	4230972	2101222	T	RDGE	XK	Europe/Belgrade
785349	Studenica	4276778	2038694	P	PPL	XK	Europe/Belgrade
785350	Studencane	4235861	2075861	P	PPL	XK	Europe/Belgrade
785360	Stublina	4245639	2162472	P	PPL	XK	Europe/Belgrade
785365	Stubla	42415	2029222	P	PPL	XK	Europe/Belgrade
785376	Struzje	42145	2079417	P	PPL	XK	Europe/Belgrade
785388	Strpce	4223944	2102722	P	PPLA2	XK	Europe/Belgrade
785390	Strovce	4271361	2098028	P	PPL	XK	Europe/Belgrade
785393	Stropacka Glava	4285833	2058056	T	MT	XK	Europe/Belgrade
